gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,PaymentMethod,Churn
Female,0,47,40.18,1960.81,One year,DSL,Yes,Credit card,No
Female,1,24,110.88,2725.08,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,35,96.04,3317.86,Month-to-month,No,Yes,Credit card,Yes
Male,0,7,87.64,690.34,Month-to-month,Fiber optic,No,Credit card,No
Female,1,57,50.1,2798.69,Month-to-month,Fiber optic,No,Bank transfer,No
Female,0,44,38.4,1818.01,Month-to-month,Fiber optic,No,Electronic check,Yes
Female,1,61,95.65,5709.16,One year,DSL,No,Electronic check,Yes
Female,0,38,67.42,2576.57,Month-to-month,Fiber optic,No,Credit card,No
Male,0,57,42.58,2102.31,Month-to-month,Fiber optic,Yes,Mailed check,No
Female,1,63,81.66,5070.6,One year,Fiber optic,No,Credit card,No
Female,0,43,24.03,1146.79,One year,DSL,No,Electronic check,No
Male,0,28,52.62,1266.61,Month-to-month,DSL,Yes,Mailed check,No
Female,0,58,66.86,3813.86,One year,DSL,Yes,Electronic check,No
Male,0,70,34.8,1954.99,Month-to-month,DSL,Yes,Bank transfer,No
Female,0,8,118.47,674.15,Month-to-month,No,Yes,Electronic check,No
Female,0,5,40.91,-16.74,Month-to-month,DSL,No,Mailed check,No
Female,1,28,33.04,945.47,Month-to-month,DSL,No,Mailed check,No
Male,0,57,40.35,2366.63,Two year,DSL,No,Credit card,No
Male,0,16,96.91,1539.35,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,0,15,62.55,861.73,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,0,2,76.54,77.26,Month-to-month,DSL,No,Electronic check,Yes
Male,0,20,22.1,585.21,Month-to-month,DSL,No,Credit card,No
Male,1,63,23.44,1519.28,Month-to-month,DSL,No,Credit card,No
Male,0,35,64.58,2193.51,Month-to-month,Fiber optic,No,Mailed check,Yes
Male,0,61,101.67,6460.53,One year,DSL,No,Bank transfer,No
Male,0,41,108.52,4839.32,Month-to-month,No,No,Credit card,Yes
Female,0,41,28.67,926.32,Month-to-month,Fiber optic,Yes,Bank transfer,No
Female,0,60,73.84,4534.9,Month-to-month,DSL,No,Bank transfer,Yes
Male,0,12,111.32,1953.82,Month-to-month,Fiber optic,No,Electronic check,No
Female,1,10,58.8,644.04,Month-to-month,DSL,Yes,Electronic check,No
Female,0,53,102.96,5479.97,One year,Fiber optic,No,Electronic check,No
Female,0,15,33.37,489.4,Two year,DSL,No,Bank transfer,No
Female,0,7,113.54,892.82,Month-to-month,Fiber optic,Yes,Electronic check,Yes
Male,0,58,95.14,5669.1,Month-to-month,Fiber optic,No,Credit card,No
Female,0,56,114.13,6142.33,One year,No,Yes,Credit card,No
Female,0,39,87.66,3413.44,Month-to-month,DSL,No,Mailed check,No
Male,0,58,56.34,2813.82,Month-to-month,DSL,Yes,Bank transfer,No
Male,0,1,113.82,71.96,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,9,47.56,247.5,One year,No,Yes,Credit card,No
Female,0,43,53.22,2356.3,Month-to-month,No,Yes,Bank transfer,No
Female,1,10,90.08,569.52,One year,DSL,Yes,Bank transfer,Yes
Female,1,1,96.53,-5.93,One year,DSL,No,Electronic check,No
Female,0,49,112.94,5727.37,Month-to-month,Fiber optic,No,Bank transfer,Yes
Female,1,11,40.48,310.01,One year,DSL,No,Electronic check,Yes
Male,0,22,99.8,1814.61,One year,DSL,No,Electronic check,No
Female,0,17,93.85,1646.96,Month-to-month,DSL,No,Electronic check,No
Female,0,61,26.38,1491.87,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
Male,0,61,58.72,3544.74,Month-to-month,No,No,Bank transfer,No
Male,0,37,48.28,1640.39,Month-to-month,No,Yes,Electronic check,No
Male,1,66,50.45,3724.58,Month-to-month,DSL,No,Bank transfer,No
Male,0,37,118.29,4065.12,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,66,84.28,6129.18,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,60,91.77,5428.07,Two year,DSL,Yes,Bank transfer,No
Female,1,0,117.66,36.69,Month-to-month,Fiber optic,No,Bank transfer,Yes
Female,0,44,57.72,2424.72,Month-to-month,Fiber optic,Yes,Mailed check,No
Female,0,27,100.18,2581.53,Month-to-month,DSL,Yes,Mailed check,No
Female,0,20,63.45,1112.03,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,12,106.95,1403.65,Month-to-month,DSL,No,Electronic check,Yes
Female,1,26,38.07,707.66,Month-to-month,Fiber optic,No,Electronic check,Yes
Male,1,6,114.77,761.44,Month-to-month,DSL,No,Credit card,Yes
Male,0,21,41.88,442.58,One year,DSL,Yes,Mailed check,No
Female,1,52,52.62,2790.95,One year,DSL,No,Credit card,No
Male,0,3,95.62,456.69,Month-to-month,Fiber optic,No,Electronic check,Yes
Female,1,22,59.38,1051.46,One year,Fiber optic,Yes,Bank transfer,No
Male,0,69,80.82,5712.33,One year,Fiber optic,Yes,Mailed check,No
Female,0,32,64.46,2073.0,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,27,94.24,2864.17,Two year,Fiber optic,No,Electronic check,No
Female,0,7,42.83,128.77,One year,DSL,No,Mailed check,Yes
Female,0,0,25.85,563.2,Month-to-month,Fiber optic,No,Credit card,Yes
Female,0,36,49.99,1321.48,Month-to-month,DSL,Yes,Credit card,No
Female,0,62,67.43,4114.76,Month-to-month,DSL,Yes,Electronic check,No
Female,0,21,36.8,433.09,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,69,55.48,4198.33,One year,DSL,No,Electronic check,Yes
Male,0,20,60.0,1147.66,Month-to-month,DSL,No,Bank transfer,Yes
Male,1,34,25.74,840.82,One year,Fiber optic,No,Electronic check,No
Female,0,4,78.33,401.97,One year,Fiber optic,No,Credit card,No
Male,0,59,108.43,6396.41,One year,Fiber optic,Yes,Bank transfer,No
Female,0,45,35.17,1463.9,One year,Fiber optic,No,Electronic check,No
Female,1,49,79.78,3657.89,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,47,86.47,4097.79,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,5,61.93,385.42,One year,DSL,No,Credit card,No
Female,1,55,90.11,5095.13,Month-to-month,DSL,Yes,Mailed check,No
Male,1,58,61.07,3924.61,Month-to-month,Fiber optic,Yes,Electronic check,No
Female,0,28,70.46,1538.13,Two year,DSL,No,Bank transfer,No
Female,0,70,20.74,1438.26,One year,No,No,Credit card,No
Female,0,17,89.17,1754.24,Month-to-month,Fiber optic,Yes,Electronic check,Yes
Female,1,1,86.13,61.23,One year,DSL,No,Mailed check,No
Female,0,7,23.84,-300.75,One year,DSL,No,Bank transfer,No
Male,0,53,56.83,2753.78,Month-to-month,DSL,No,Electronic check,Yes
Male,1,37,117.9,4428.01,Month-to-month,DSL,No,Electronic check,No
Female,0,47,62.07,2975.73,Two year,DSL,Yes,Credit card,No
Female,0,26,70.19,1959.44,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,19,110.99,1952.61,Month-to-month,Fiber optic,Yes,Bank transfer,No
Male,0,11,91.73,1061.01,Month-to-month,Fiber optic,Yes,Electronic check,Yes
Female,0,42,78.21,3095.65,One year,DSL,Yes,Mailed check,No
Male,0,60,99.78,6038.79,Month-to-month,DSL,Yes,Mailed check,No
Female,0,30,106.44,3203.84,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,60,65.69,3777.23,Month-to-month,Fiber optic,No,Electronic check,No
Female,1,66,67.51,4767.3,Two year,Fiber optic,No,Credit card,No
Male,0,34,58.61,1651.61,Month-to-month,No,Yes,Electronic check,No
Female,1,14,116.67,1605.06,Month-to-month,Fiber optic,No,Credit card,No
Male,0,15,89.72,1177.22,Two year,Fiber optic,Yes,Mailed check,No
Male,1,12,28.32,706.68,Month-to-month,DSL,No,Bank transfer,No
Female,0,34,106.3,3733.88,Two year,Fiber optic,Yes,Bank transfer,No
Male,0,58,68.06,3817.62,Two year,DSL,No,Bank transfer,No
Female,0,20,26.88,481.66,Two year,Fiber optic,No,Credit card,No
Male,1,53,74.97,4345.66,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,0,29,61.72,1600.62,One year,DSL,Yes,Mailed check,No
Male,0,47,107.77,4712.3,One year,DSL,No,Bank transfer,No
Female,0,34,40.4,1431.8,Two year,DSL,No,Bank transfer,No
Male,1,37,102.65,3860.78,Month-to-month,DSL,Yes,Credit card,No
Female,0,30,75.77,2406.31,One year,DSL,No,Credit card,No
Male,0,23,25.46,720.11,Month-to-month,DSL,No,Electronic check,No
Female,0,48,117.18,5978.78,Month-to-month,DSL,No,Credit card,No
Female,1,31,71.26,1865.43,Month-to-month,DSL,No,Electronic check,No
Female,0,54,49.09,2410.3,One year,No,No,Bank transfer,No
Male,0,57,66.94,3948.02,Month-to-month,DSL,No,Mailed check,Yes
Female,0,2,105.79,-9.55,Month-to-month,DSL,No,Credit card,No
Male,0,68,50.49,3142.0,Two year,Fiber optic,No,Mailed check,No
Female,0,9,39.27,726.6,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,24,32.91,465.85,One year,Fiber optic,No,Credit card,No
Female,0,67,49.79,3265.68,Month-to-month,DSL,No,Electronic check,Yes
Male,0,60,98.0,5868.13,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,28,67.16,2142.31,One year,Fiber optic,No,Bank transfer,Yes
Female,0,18,42.75,395.74,Two year,Fiber optic,Yes,Mailed check,No
Male,0,42,36.62,1621.14,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,65,53.27,3284.47,One year,Fiber optic,Yes,Mailed check,No
Female,0,60,113.99,6964.92,Month-to-month,Fiber optic,No,Mailed check,Yes
Male,0,42,54.3,2099.24,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,24,118.81,3165.9,Month-to-month,Fiber optic,No,Credit card,No
Male,0,19,68.52,1121.69,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,47,37.92,1289.84,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,23,109.11,2351.76,Month-to-month,DSL,Yes,Mailed check,Yes
Female,1,10,66.04,608.14,Month-to-month,No,No,Credit card,No
Male,0,54,90.97,5128.85,Month-to-month,DSL,No,Credit card,No
Male,0,27,118.37,2944.31,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,0,68,25.02,1453.63,Month-to-month,Fiber optic,No,Bank transfer,Yes
Female,0,62,29.67,2031.66,Two year,DSL,No,Electronic check,Yes
Male,0,58,92.05,5063.85,One year,Fiber optic,No,Electronic check,Yes
Male,0,4,48.18,156.92,Month-to-month,DSL,No,Electronic check,Yes
Female,0,50,38.43,1889.77,Two year,DSL,No,Electronic check,No
Male,0,20,23.94,522.32,One year,DSL,No,Mailed check,No
Female,0,11,22.18,94.01,Month-to-month,DSL,Yes,Credit card,No
Female,0,49,97.45,4589.65,Month-to-month,DSL,No,Bank transfer,No
Male,1,3,33.44,167.3,One year,No,No,Mailed check,No
Female,0,41,66.77,2558.37,Month-to-month,No,No,Credit card,No
Male,1,37,80.59,2709.84,One year,DSL,Yes,Credit card,No
Female,0,24,62.84,1753.72,One year,Fiber optic,No,Mailed check,No
Female,0,13,22.71,392.85,One year,DSL,Yes,Mailed check,No
Male,0,31,98.35,3402.35,Two year,DSL,Yes,Bank transfer,No
Female,0,10,21.05,367.29,Month-to-month,DSL,Yes,Electronic check,Yes
Female,1,60,96.19,5517.77,Month-to-month,No,No,Electronic check,No
Female,0,17,109.33,1877.88,One year,No,Yes,Bank transfer,No
Female,1,26,63.28,1442.15,Month-to-month,DSL,No,Bank transfer,No
Female,0,54,73.55,3641.38,One year,DSL,Yes,Electronic check,No
Male,1,53,67.7,3498.66,Two year,DSL,No,Mailed check,No
Female,0,20,58.92,1374.71,One year,Fiber optic,Yes,Electronic check,No
Male,0,43,108.74,4730.8,Month-to-month,Fiber optic,Yes,Credit card,No
Female,0,4,109.39,159.38,Month-to-month,DSL,No,Credit card,Yes
Male,0,40,53.58,2046.73,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,58,81.51,4699.01,Month-to-month,DSL,Yes,Electronic check,No
Female,0,53,112.69,5634.75,One year,No,Yes,Electronic check,No
Female,1,21,116.21,2583.04,One year,Fiber optic,Yes,Credit card,No
Female,0,64,70.9,4491.85,One year,Fiber optic,No,Electronic check,No
Male,0,63,65.28,3834.52,Month-to-month,Fiber optic,No,Bank transfer,Yes
Female,0,70,47.87,3061.47,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,3,115.89,567.8,One year,DSL,Yes,Credit card,Yes
Male,0,64,34.28,2117.76,Month-to-month,DSL,No,Electronic check,No
Male,0,14,77.98,1329.79,Month-to-month,No,Yes,Electronic check,Yes
Female,0,21,48.26,1327.89,One year,DSL,Yes,Credit card,No
Female,0,46,47.9,2407.89,One year,DSL,No,Mailed check,No
Male,0,45,60.5,2615.81,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,13,119.88,1058.87,Two year,Fiber optic,Yes,Electronic check,No
Female,0,49,25.5,1312.1,Month-to-month,Fiber optic,No,Bank transfer,No
Male,0,19,77.85,1897.47,Two year,No,No,Mailed check,No
Female,0,49,28.26,1377.66,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,32,35.45,736.44,Month-to-month,DSL,No,Mailed check,Yes
Female,0,58,63.96,3574.7,Two year,Fiber optic,No,Credit card,No
Male,1,42,71.05,2947.35,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,11,45.88,285.08,One year,DSL,No,Mailed check,Yes
Male,1,39,51.65,1501.56,One year,DSL,No,Credit card,No
Female,0,19,28.7,525.73,Two year,DSL,Yes,Bank transfer,No
Female,0,37,50.32,1704.86,Two year,Fiber optic,No,Electronic check,No
Male,0,2,116.66,587.86,Month-to-month,Fiber optic,Yes,Bank transfer,No
Male,1,27,114.47,3110.9,One year,Fiber optic,Yes,Bank transfer,No
Female,0,55,53.49,3035.87,Month-to-month,No,No,Mailed check,No
Male,1,12,77.09,901.26,Month-to-month,DSL,Yes,Electronic check,No
Female,1,65,110.96,7231.15,One year,No,No,Mailed check,No
Male,0,36,20.62,411.86,Month-to-month,Fiber optic,No,Credit card,No
Female,0,48,101.07,4643.33,Month-to-month,DSL,No,Bank transfer,Yes
Female,0,65,114.84,7682.32,Month-to-month,No,Yes,Bank transfer,No
Female,0,35,29.13,1061.44,One year,DSL,Yes,Credit card,No
Female,1,53,36.14,1835.72,Two year,Fiber optic,No,Electronic check,Yes
Female,1,25,116.07,2998.98,Month-to-month,Fiber optic,No,Bank transfer,No
Female,0,71,73.75,5337.42,Month-to-month,Fiber optic,Yes,Bank transfer,No
Male,0,39,21.42,1233.56,Two year,Fiber optic,Yes,Electronic check,No
Male,0,42,45.76,1954.53,Month-to-month,DSL,No,Mailed check,No
Male,0,21,64.99,1152.29,Month-to-month,Fiber optic,Yes,Credit card,No
Female,1,19,89.29,1673.37,Month-to-month,DSL,No,Electronic check,Yes
Female,0,7,93.32,774.75,Month-to-month,Fiber optic,No,Credit card,No
Female,0,28,119.54,3546.25,Month-to-month,Fiber optic,No,Credit card,Yes
Female,0,39,48.75,1578.24,One year,No,No,Bank transfer,No
Male,0,29,73.82,2191.52,Month-to-month,DSL,Yes,Electronic check,No
Male,0,54,73.33,3780.37,Two year,Fiber optic,No,Credit card,No
Female,0,15,60.56,795.07,One year,No,No,Mailed check,No
Male,0,45,36.92,1830.57,One year,Fiber optic,No,Credit card,No
Male,0,61,117.75,7332.0,Month-to-month,DSL,No,Bank transfer,No
Female,1,6,105.33,496.35,Month-to-month,DSL,No,Mailed check,No
Male,0,44,69.83,3040.95,Month-to-month,DSL,Yes,Mailed check,No
Female,0,58,80.32,4551.34,Two year,Fiber optic,No,Electronic check,No
Male,0,55,42.73,2928.49,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,47,74.38,3551.53,Month-to-month,No,No,Electronic check,No
Female,0,26,89.5,2159.1,Month-to-month,DSL,No,Electronic check,No
Female,0,52,71.52,3983.47,Month-to-month,DSL,No,Mailed check,Yes
Female,0,34,119.03,4318.51,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,50,81.13,4414.83,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,36,57.1,2473.2,Month-to-month,No,Yes,Mailed check,No
Female,0,56,97.22,5585.86,Month-to-month,Fiber optic,No,Bank transfer,Yes
Female,1,7,37.05,189.38,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,19,58.45,1070.03,One year,Fiber optic,No,Electronic check,No
Female,0,52,54.7,2785.98,Month-to-month,Fiber optic,No,Electronic check,Yes
Male,0,11,63.18,614.23,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,0,48,98.18,4960.63,Month-to-month,DSL,No,Credit card,No
Male,0,16,68.42,1094.86,Month-to-month,DSL,No,Credit card,No
Male,0,63,99.4,6456.48,Two year,DSL,Yes,Electronic check,No
Female,1,41,77.65,3318.95,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,28,54.21,1298.15,One year,DSL,No,Bank transfer,No
Female,0,18,101.0,1474.56,Two year,DSL,No,Credit card,No
Female,0,10,43.83,190.97,One year,DSL,Yes,Bank transfer,No
Female,0,49,42.44,1994.22,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,70,70.45,4958.37,Month-to-month,DSL,No,Bank transfer,Yes
Male,0,57,46.08,2496.9,One year,Fiber optic,No,Mailed check,No
Female,0,33,20.91,830.64,Month-to-month,DSL,No,Electronic check,No
Female,1,19,84.83,1506.23,One year,DSL,Yes,Bank transfer,No
Male,0,49,71.11,3535.78,One year,Fiber optic,No,Electronic check,No
Female,0,9,64.55,604.47,One year,DSL,No,Electronic check,No
Female,0,31,116.7,3964.59,Month-to-month,DSL,No,Mailed check,No
Female,0,51,77.12,3738.07,One year,DSL,No,Bank transfer,Yes
Male,0,14,106.34,1930.44,One year,Fiber optic,Yes,Credit card,No
Male,0,2,33.95,-50.97,One year,Fiber optic,No,Bank transfer,No
Male,0,36,76.92,2501.11,Month-to-month,DSL,Yes,Credit card,No
Female,1,39,106.8,4121.82,Month-to-month,DSL,Yes,Electronic check,No
Female,0,71,78.31,6208.04,Month-to-month,No,No,Electronic check,Yes
Female,0,39,91.8,3759.24,Month-to-month,Fiber optic,No,Mailed check,No
Male,1,55,57.2,3266.59,Month-to-month,Fiber optic,No,Credit card,Yes
Female,0,22,29.24,802.32,Two year,Fiber optic,No,Bank transfer,No
Female,0,10,65.79,503.98,Month-to-month,Fiber optic,No,Mailed check,No
Female,0,63,59.45,3810.56,One year,Fiber optic,No,Mailed check,No
Female,0,7,106.71,747.47,Month-to-month,Fiber optic,Yes,Mailed check,Yes
Male,0,55,44.4,2803.81,Month-to-month,Fiber optic,No,Bank transfer,No
Male,1,59,116.67,6861.79,Month-to-month,DSL,Yes,Mailed check,Yes
Female,0,9,115.81,966.63,Month-to-month,No,No,Bank transfer,No
Male,0,38,44.76,1467.92,Two year,Fiber optic,Yes,Mailed check,No
Male,0,27,54.81,1507.87,Month-to-month,DSL,No,Credit card,No
Female,0,48,109.56,5317.47,One year,No,No,Electronic check,No
Female,0,35,116.66,3842.78,Month-to-month,No,No,Credit card,Yes
Male,0,12,64.34,862.71,Two year,No,No,Credit card,No
Female,1,35,52.1,1870.14,Month-to-month,Fiber optic,No,Mailed check,No
Male,0,25,72.61,2017.94,Month-to-month,No,No,Credit card,Yes
Female,0,3,88.78,508.81,Month-to-month,DSL,No,Credit card,No
Male,0,63,47.35,3001.91,Month-to-month,Fiber optic,No,Credit card,No
Female,0,37,93.65,3257.78,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,21,25.17,362.45,Two year,DSL,Yes,Bank transfer,No
Male,0,1,24.93,377.36,One year,DSL,Yes,Electronic check,No
Male,0,30,58.63,1792.0,One year,No,Yes,Electronic check,No
Female,0,10,55.35,902.73,Month-to-month,DSL,No,Bank transfer,Yes
Male,0,45,51.56,2419.92,Month-to-month,Fiber optic,Yes,Bank transfer,No
Male,0,61,69.1,4365.85,Month-to-month,DSL,Yes,Credit card,Yes
Female,1,68,52.07,3728.5,Two year,DSL,Yes,Electronic check,No
Female,0,63,39.23,2226.86,One year,Fiber optic,No,Bank transfer,Yes
Male,0,9,50.95,519.94,Two year,DSL,No,Credit card,No
Male,0,39,117.49,4334.71,One year,Fiber optic,No,Electronic check,No
Female,1,23,61.11,1348.55,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,1,43,64.47,2900.24,Month-to-month,DSL,Yes,Mailed check,Yes
Female,0,59,77.65,4376.28,Month-to-month,DSL,No,Electronic check,Yes
Female,1,61,118.33,7330.0,Month-to-month,DSL,No,Electronic check,Yes
Female,0,16,44.16,406.89,Month-to-month,DSL,Yes,Mailed check,No
Male,0,64,88.13,5868.98,Month-to-month,Fiber optic,No,Mailed check,Yes
Female,0,56,91.6,4996.71,One year,Fiber optic,No,Electronic check,No
Male,0,54,80.73,4154.0,Two year,DSL,No,Credit card,No
Male,0,52,28.86,1213.65,One year,Fiber optic,No,Bank transfer,No
Male,1,55,87.69,4707.08,Two year,DSL,Yes,Bank transfer,No
Female,0,8,26.41,-170.24,Month-to-month,DSL,Yes,Electronic check,Yes
Male,0,21,79.61,1562.13,Month-to-month,DSL,Yes,Bank transfer,No
Male,0,12,93.96,1347.42,One year,Fiber optic,Yes,Mailed check,No
Female,0,47,41.1,1893.96,Month-to-month,No,Yes,Mailed check,Yes
Male,0,17,104.16,1535.22,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,0,39,23.04,943.81,Month-to-month,DSL,Yes,Electronic check,No
Female,0,16,104.38,1697.66,Month-to-month,DSL,No,Mailed check,No
Male,1,14,66.03,1315.74,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,14,41.76,742.78,Month-to-month,Fiber optic,No,Credit card,Yes
Male,0,62,33.38,2130.68,Month-to-month,No,No,Mailed check,No
Female,0,38,115.33,4563.55,One year,DSL,No,Mailed check,Yes
Female,0,12,27.27,300.36,Month-to-month,DSL,No,Bank transfer,No
Female,0,31,39.91,1222.13,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,8,54.78,770.03,Month-to-month,Fiber optic,No,Bank transfer,No
Male,1,39,82.02,2871.66,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,19,74.48,1608.71,One year,Fiber optic,Yes,Credit card,No
Male,1,62,32.56,1996.56,One year,No,No,Credit card,No
Male,1,43,48.97,2047.41,One year,Fiber optic,No,Electronic check,No
Female,0,37,43.88,1512.98,Month-to-month,No,No,Bank transfer,No
Female,1,59,41.35,2470.38,Month-to-month,No,Yes,Mailed check,No
Male,0,70,61.11,4268.99,Month-to-month,Fiber optic,No,Electronic check,No
Male,1,47,90.4,4165.86,Month-to-month,DSL,No,Bank transfer,No
Male,0,17,41.75,569.22,Month-to-month,DSL,Yes,Credit card,No
Female,1,15,56.67,468.98,Month-to-month,Fiber optic,No,Mailed check,No
Female,1,54,59.09,3046.1,Month-to-month,Fiber optic,No,Credit card,No
Female,1,38,117.65,4368.24,One year,Fiber optic,No,Electronic check,No
Female,0,67,115.47,7766.74,Month-to-month,DSL,No,Credit card,Yes
Male,0,58,100.01,6193.2,One year,DSL,No,Credit card,No
Female,0,61,44.17,2571.18,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,12,26.8,116.85,Month-to-month,DSL,Yes,Mailed check,No
Female,0,5,51.69,115.55,Two year,DSL,No,Electronic check,No
Female,0,59,46.68,2784.79,Two year,DSL,No,Bank transfer,No
Female,0,13,70.59,1035.4,Month-to-month,Fiber optic,No,Electronic check,No
Male,1,53,97.77,5327.48,Month-to-month,DSL,No,Electronic check,Yes
Male,0,3,105.83,483.03,Month-to-month,Fiber optic,Yes,Mailed check,No
Female,1,38,104.49,4164.47,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,0,71,55.97,3918.09,One year,No,No,Credit card,No
Female,1,24,88.72,2539.91,Two year,Fiber optic,Yes,Credit card,No
Female,1,31,51.28,1518.73,One year,DSL,Yes,Credit card,No
Male,0,58,26.09,1535.09,Month-to-month,DSL,Yes,Credit card,No
Male,0,62,90.16,5849.09,One year,DSL,No,Mailed check,No
Female,0,37,20.98,889.55,Month-to-month,Fiber optic,Yes,Bank transfer,No
Female,0,52,60.92,2719.67,Two year,DSL,Yes,Mailed check,No
Female,0,66,52.94,3495.17,Two year,DSL,No,Electronic check,No
Male,0,27,89.34,2584.57,Month-to-month,Fiber optic,No,Bank transfer,Yes
Female,0,2,96.62,-75.45,Month-to-month,DSL,Yes,Bank transfer,Yes
Female,0,21,50.41,1208.75,Month-to-month,DSL,Yes,Credit card,No
Female,0,37,101.16,3820.95,Month-to-month,Fiber optic,Yes,Credit card,No
Male,0,71,49.39,3743.47,One year,No,Yes,Credit card,No
Female,0,71,64.63,4450.34,Month-to-month,DSL,Yes,Credit card,Yes
Female,1,61,92.7,5853.88,Month-to-month,DSL,No,Electronic check,No
Male,0,56,89.29,5032.16,Month-to-month,No,Yes,Credit card,No
Female,1,5,118.74,946.91,One year,DSL,No,Mailed check,Yes
Female,0,31,42.52,1875.33,Month-to-month,No,No,Bank transfer,Yes
Male,0,9,86.23,1083.74,Two year,DSL,No,Electronic check,Yes
Female,0,2,80.97,258.04,Two year,Fiber optic,No,Electronic check,No
Male,0,58,111.51,6931.78,Two year,DSL,No,Bank transfer,No
Male,0,48,35.64,1831.42,Month-to-month,No,No,Bank transfer,No
Female,0,58,95.18,5338.85,Month-to-month,DSL,No,Bank transfer,Yes
Female,0,30,76.83,2297.05,Month-to-month,Fiber optic,Yes,Electronic check,No
Female,0,68,47.47,3380.29,Month-to-month,DSL,Yes,Mailed check,No
Female,0,61,67.44,4279.03,Month-to-month,DSL,No,Mailed check,No
Male,0,51,53.38,2497.33,One year,Fiber optic,No,Bank transfer,No
Female,0,40,77.93,2898.49,Month-to-month,Fiber optic,No,Electronic check,No
Male,0,30,108.9,3198.74,Two year,No,No,Credit card,No
Female,0,21,76.93,1722.44,Month-to-month,Fiber optic,No,Electronic check,No
Female,0,3,83.17,382.02,One year,Fiber optic,No,Bank transfer,No
Female,1,12,71.87,890.7,One year,Fiber optic,No,Electronic check,No
Male,0,44,25.12,938.39,One year,No,No,Electronic check,No
Female,0,41,43.29,2122.28,Two year,No,No,Electronic check,No
Female,1,48,69.2,3107.19,One year,DSL,No,Credit card,No
Female,0,19,51.02,1229.85,Two year,Fiber optic,Yes,Bank transfer,No
Female,0,53,38.18,2171.3,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,0,35,70.41,2720.42,Month-to-month,DSL,Yes,Bank transfer,No
Female,0,0,52.28,-88.89,Month-to-month,Fiber optic,Yes,Mailed check,No
Male,0,14,45.81,612.81,Month-to-month,DSL,No,Mailed check,Yes
Male,0,16,66.4,1073.41,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
Male,0,23,33.33,671.31,Month-to-month,DSL,No,Electronic check,No
Male,0,57,112.77,6472.94,Month-to-month,DSL,Yes,Electronic check,No
Male,1,71,106.77,7896.49,Month-to-month,Fiber optic,No,Bank transfer,Yes
Male,1,22,90.76,1737.35,Month-to-month,Fiber optic,Yes,Credit card,No
Female,0,45,30.62,1246.46,Two year,Fiber optic,No,Credit card,No
Male,0,71,97.59,6775.74,Month-to-month,No,Yes,Electronic check,Yes
Male,0,7,100.8,686.72,One year,Fiber optic,No,Electronic check,No
Male,0,58,96.78,5586.13,Month-to-month,DSL,No,Mailed check,Yes
Female,0,58,31.4,1975.66,Two year,Fiber optic,No,Credit card,No
Female,0,12,84.39,1019.42,Two year,Fiber optic,Yes,Electronic check,No
Male,1,38,103.43,3990.92,One year,Fiber optic,Yes,Electronic check,No
